,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
0,CHEVROLET,23000,2008.0,14.0,0.0,diesel,240000,clean,automatic,,,,,,,
1,CHEVROLET SILVERADO 1500,7300,2005.0,17.0,0.0,gas,189528,clean,automatic,good,8 cylinders,4wd,white,full-size,pickup,
2,VW JETTA,2000,2008.0,14.0,0.0,gas,231850,clean,manual,good,5 cylinders,fwd,black,,sedan,3VWRM71K88M027036
3,CHEVROLET SUBURBAN,7500,2008.0,14.0,0.0,gas,202000,clean,manual,fair,,,black,full-size,SUV,
4,CHEVROLET,8000,1956.0,66.0,0.0,gas,777777,clean,automatic,,,,,,,
5,CJ7 JEEP,12000,1977.0,45.0,0.0,gas,104000,missing,manual,good,6 cylinders,4wd,red,,offroad,
6,TOYOTA SUPRA,4700,1985.0,37.0,1.0,gas,123881,clean,manual,fair,6 cylinders,rwd,blue,mid-size,hatchback,
7,SUZUKI SIDE KICK,1800,1996.0,26.0,1.0,gas,139000,clean,manual,fair,4 cylinders,rwd,,,,
8,CHEVROLET SILVERADO 1500,12775,2000.0,22.0,0.0,gas,104000,clean,automatic,like new,,,,,,
9,CHEVROLET VENTURE VAN,950,2001.0,21.0,0.0,gas,200000,clean,automatic,good,6 cylinders,fwd,silver,,mini-van,
10,CHEVROLET CORVETTE,25750,2001.0,21.0,0.0,gas,21500,clean,manual,like new,8 cylinders,rwd,red,,,
11,DODGE DAKOTA,4500,2001.0,21.0,0.0,gas,,clean,automatic,good,8 cylinders,rwd,green,mid-size,pickup,
12,FORD F250 SUPER DUTY,14000,2002.0,20.0,0.0,diesel,245000,clean,automatic,good,8 cylinders,4wd,red,full-size,truck,
13,PORSCHE BOXSTER S,22500,2002.0,20.0,0.0,gas,44800,clean,manual,excellent,,rwd,grey,,convertible,
14,PORSCHE CARRERA 4S,40750,2002.0,20.0,0.0,gas,37625,clean,manual,excellent,,4wd,grey,,coupe,
15,NISSAN XTERRA,3500,2002.0,20.0,1.0,gas,167877,clean,automatic,fair,,4wd,red,,SUV,
16,NISSAN XTERRA 4X4,2500,2002.0,20.0,1.0,gas,167000,clean,automatic,good,4 cylinders,4wd,red,,,
17,DODGE DURANGO,5000,2004.0,18.0,0.0,gas,154000,clean,automatic,good,8 cylinders,4wd,silver,mid-size,SUV,
18,FORD F450 SUPER DUTY CREW,16999,2004.0,18.0,0.0,diesel,232000,rebuilt,automatic,good,8 cylinders,rwd,white,full-size,,
19,PORSCHE BOXSTER,14500,2004.0,18.0,0.0,gas,95750,clean,automatic,good,6 cylinders,rwd,silver,,,
20,PORSCHE BOXSTER S,25750,2004.0,18.0,0.0,gas,50000,clean,manual,excellent,6 cylinders,rwd,red,,convertible,
21,TOYOTA SOLARA,3500,2004.0,18.0,1.0,gas,173000,clean,automatic,good,4 cylinders,fwd,blue,mid-size,,
22,DODGE DAKOTA,5500,2005.0,17.0,0.0,gas,138000,clean,automatic,excellent,8 cylinders,,,,,
23,HONDA CRV,5900,2005.0,17.0,1.0,gas,152222,clean,automatic,good,4 cylinders,4wd,grey,sub-compact,SUV,
24,JEEP GRAND CHEROKEE LIMITED,6000,2005.0,17.0,0.0,gas,183500,clean,automatic,good,8 cylinders,rwd,,full-size,SUV,
25,BMW 330I,13500,2006.0,16.0,0.0,gas,41250,clean,automatic,excellent,6 cylinders,rwd,grey,,sedan,
26,MERCEDES BENZ E500,7000,2006.0,16.0,0.0,gas,144510,clean,automatic,like new,8 cylinders,rwd,black,full-size,sedan,
27,TOYOTA AVALON XLS,10000,2008.0,14.0,1.0,gas,67000,clean,automatic,good,6 cylinders,fwd,,,sedan,
28,TOYOTA COROLLA,2700,2009.0,13.0,1.0,gas,198000,clean,automatic,fair,4 cylinders,fwd,red,compact,sedan,
29,FORD F-150,17000,2010.0,12.0,0.0,gas,138000,clean,automatic,good,,,,,,
30,RAM 2500,26000,2011.0,11.0,0.0,diesel,113000,salvage,automatic,,6 cylinders,4wd,silver,full-size,truck,
31,CHEVROLET AVALANCHE LT,17000,2012.0,10.0,0.0,gas,130775,clean,automatic,excellent,8 cylinders,rwd,red,full-size,truck,3GNMCFE05CG100784
32,FORD ECONOLINE E150 CARGO VAN,5500,2012.0,10.0,0.0,gas,205176,clean,automatic,good,8 cylinders,rwd,white,full-size,van,
33,MERCEDES BENZ SL550,59000,2013.0,9.0,0.0,gas,5764,clean,automatic,like new,8 cylinders,rwd,silver,full-size,convertible,
34,FORD F-150 XLT,29900,2015.0,7.0,0.0,gas,73000,clean,automatic,excellent,6 cylinders,rwd,brown,,,
35,MINI COOPER,16995,2016.0,6.0,0.0,gas,42210,clean,automatic,excellent,,fwd,red,compact,hatchback,WMWXP5C54G2D15042
36,FORD MUSTANG,2500,1996.0,26.0,0.0,gas,170000,clean,automatic,,6 cylinders,,red,,,
